company,title,link
(주)푸드로직,버티컬 AI SaaS 스타트업 Python 기반 백엔드 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53380284&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)인디제이,인디제이(inDJ AI) - AI/Python 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53416077&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
클립데이터(주),"Python , DJango/DJangoRestframework 웹개발자",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53198594&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)케이텍,"프로그램 개발자 모집(Machine Vision, AI(Python), C, C#, C++)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53416246&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
화랑,AI Vision/MFC/C# Python 개발직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53407129&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
브리트,브리트-풀스택 개발자 채용 [Python/FastAPI],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53413863&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)투데이게이트,"대구시 동구 혁신도시 공공기관 SW 운영, Python 개발자",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53278375&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)지오스토리,"[지오스토리] Python, 웹 개발자 신입/경력직 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53291785&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)슈프리마,[슈프리마] Python 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53259750&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
㈜아이엔소프트,"AX본부 개발자 (Python, Sagemaker/Bedrock)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53219403&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)슈프리마,[슈프리마] Python개발자(해외기술지원 AI Chatbot&데이터 운영),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53020486&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)스파이어테크놀로지,"AI서비스 백엔드/서버 개발자 (JAVA, Python)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53019128&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)제이케이테크놀로지,Python 기반 Linux 장치제어 시스템 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53291560&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)큐피스트,백엔드 개발자 (Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51962314&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)아주화장품,화장품 스마트팩토리의 '두뇌'를 설계할 Python php 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53296001&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)제이투이,[PYTHON SI 잠실] 대기업 마트앱 AI 관련 클라우드 이관 (4월투,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53182533&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)제이투이,[Python SI 의왕] 데이터포털 고도화  (1),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53438486&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
